"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"LSBK","Lake Shore Bancorp Inc","Financials","US Equity","Common stocks","Micro cap","$72,940,500","546","Analyze"
"UBCP","United Bancorp Inc","Financials","US Equity","Common stocks","Micro cap","$72,610,480","3,035","Analyze"
"FFBW","FFBW, Inc.","Financials","US Equity","Common stocks","Micro cap","$71,293,265","5,789","Analyze"
"HMNF","Hmn Financial Inc","Financials","US Equity","Common stocks","Micro cap","$70,949,401","4,922","Analyze"
"CWBC","Community West Bancshares","Financials","US Equity","Common stocks","Micro cap","$69,902,250","5,195","Analyze"
"FXNC","First National Corporation","Financials","US Equity","Common stocks","Micro cap","$69,386,317","1,447","Analyze"
"UBOH","United Bancshares Inc","Financials","US Equity","Common stocks","Micro cap","$66,414,495","1,484","Analyze"
"EMCF","Emclaire Financial Corp","Financials","US Equity","Common stocks","Micro cap","$64,311,660","839","Analyze"
"RIVE","Riverview Financial Corporation","Financials","US Equity","Common stocks","Micro cap","$63,842,960","8,373","Analyze"
"GFED","Guaranty Federal Bancshares Inc","Financials","US Equity","Common stocks","Micro cap","$61,984,590","653","Analyze"
"AMRB","American River Bankshares","Financials","US Equity","Common stocks","Micro cap","$61,458,404","6,039","Analyze"
"CLDB","Cortland Bancorp","Financials","US Equity","Common stocks","Micro cap","$61,446,833","1,434","Analyze"
"FBSS","Fauquier Bankshares Inc","Financials","US Equity","Common stocks","Micro cap","$59,425,472","5,491","Analyze"
"IROQ","If Bancorp Inc","Financials","US Equity","Common stocks","Micro cap","$58,715,686","1,557","Analyze"
"CFBI","Community First Bancshares Inc","Financials","US Equity","Common stocks","Micro cap","$58,219,452","3,188","Analyze"
"PBHC","Pathfinder Bancorp Inc","Financials","US Equity","Common stocks","Micro cap","$53,290,995","1,260","Analyze"
"KFFB","Kentucky First Federal Bancorp","Financials","US Equity","Common stocks","Micro cap","$52,154,030","1,358","Analyze"
"FSEA","First Seacoast Bancorp","Financials","US Equity","Common stocks","Micro cap","$49,523,760","863","Analyze"
"MGYR","Magyar Bancorp Inc","Financials","US Equity","Common stocks","Micro cap","$48,577,870","731","Analyze"
"ASRV","Ameriserv Financial Inc","Financials","US Equity","Common stocks","Micro cap","$47,081,736","11,389","Analyze"
"CBMB","CBM Bancorp, Inc.","Financials","US Equity","Common stocks","Micro cap","$46,944,664","614","Analyze"
"MSVB","Mid-Southern Bancorp Inc.","Financials","US Equity","Common stocks","Micro cap","$46,886,748","1,191","Analyze"
"BYFC","Broadway Financial Corp","Financials","US Equity","Common stocks","Micro cap","$46,265,003","521,618","Analyze"
"BCOW","1895 Bancorp of Wisconsin, Inc.","Financials","US Equity","Common stocks","Micro cap","$45,304,357","1,401","Analyze"
"BOTJ","Bank Of The James Financial Group","Financials","US Equity","Common stocks","Micro cap","$44,518,140","2,807","Analyze"
"VBFC","Village Bank And Trust Financial","Financials","US Equity","Common stocks","Micro cap","$43,987,200","368","Analyze"
"FUSB","First Us Bancshares Inc","Financials","US Equity","Common stocks","Micro cap","$43,422,623","1,040","Analyze"
"HFBL","Home Federal Bancorp Inc","Financials","US Equity","Common stocks","Micro cap","$42,062,580","1,176","Analyze"
"ESBK","Elmira Savings Bank","Financials","US Equity","Common stocks","Micro cap","$36,919,800","2,133","Analyze"
"HVBC","HV Bancorp Inc.","Financials","US Equity","Common stocks","Micro cap","$29,101,783","927","Analyze"
"GLBZ","Glen Burie Bancorp","Financials","US Equity","Common stocks","Micro cap","$29,008,039","476","Analyze"
"CNNB","Cincinnati Bancorp, Inc.","Financials","US Equity","Common stocks","Micro cap","$28,391,040","1,907","Analyze"
"WVFC","Wvs Financial Corp","Financials","US Equity","Common stocks","Micro cap","$26,865,983","705","Analyze"
"PNBK","Patriot National Bancorp Inc","Financials","US Equity","Common stocks","Micro cap","$26,825,719","788","Analyze"
"CARV","Carver Bancorp Inc.","Financials","US Equity","Common stocks","Micro cap","$20,641,877","468,877","Analyze"
"OPHC","Optimumbank Holdings Inc.","Financials","US Equity","Common stocks","Micro cap","$8,293,294","16,094","Analyze"
